Acad Org,Current Status,Course ID,Subject,Catalog,Section,Term,Term,Title,Tot Enrl,Component,Instructor
16300,Active,8733,MA,132,3,4182,Spring 2018,Calculus II,66,LEC,"Appleton,Jay"
16300,Active,8733,MA,132,3,4189,Fall 2018,Calculus II,39,LEC,"Galluzzo,Benjamin Jason"
16300,Active,8733,MA,132,3,4192,Spring 2019,Calculus II,83,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,3,4199,Fall 2019,Calculus II,34,LEC,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,3,4202,Spring 2020,Calculus II,74,LEC,"Atindama,Emmanuel Atoleya"
16300,Active,8733,MA,132,3,4202,Spring 2020,Calculus II,74,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,3,4212,Spring 2021,Calculus II,84,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,3,4219,Fall 2021,Calculus II,34,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,3,4222,Spring 2022,Calculus II,0,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,4,4152,Spring 2015,Calculus II,69,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,4,4162,Spring 2016,Calculus II,84,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,4,4172,Spring 2017,Calculus II,59,LEC,"Parshad,Rana D"
16300,Active,8733,MA,132,4,4182,Spring 2018,Calculus II,33,LEC,"Appleton,Jay"
16300,Active,8733,MA,132,4,4192,Spring 2019,Calculus II,46,LEC,"Batthana Mudiyanselage,Shandeepa Dilhani Wickramas"
16300,Active,8733,MA,132,4,4202,Spring 2020,Calculus II,78,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,4,4212,Spring 2021,Calculus II,62,LEC,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,4,4222,Spring 2022,Calculus II,0,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,5,4152,Spring 2015,Calculus II,81,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,5,4162,Spring 2016,Calculus II,27,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,5,4172,Spring 2017,Calculus II,54,LEC,"Morrison,Sara A."
16300,Active,8733,MA,132,5,4182,Spring 2018,Calculus II,59,LEC,"Appleton,Jay"
16300,Active,8733,MA,132,5,4192,Spring 2019,Calculus II,84,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,5,4202,Spring 2020,Calculus II,53,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,5,4212,Spring 2021,Calculus II,27,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,5,4222,Spring 2022,Calculus II,0,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,6,4152,Spring 2015,Calculus II,52,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,6,4162,Spring 2016,Calculus II,75,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,6,4172,Spring 2017,Calculus II,51,LEC,"Almomani,Ahmad Rasheed"
16300,Active,8733,MA,132,6,4182,Spring 2018,Calculus II,33,LEC,"White,Diana Terese"
16300,Active,8733,MA,132,6,4192,Spring 2019,Calculus II,52,LEC,"White,Diana Terese"
16300,Active,8733,MA,132,6,4202,Spring 2020,Calculus II,38,LEC,"White,Diana Terese"
16300,Active,8733,MA,132,6,4212,Spring 2021,Calculus II,36,LEC,"Athavale,Prashant Vinayak"
16300,Active,8733,MA,132,6,4222,Spring 2022,Calculus II,0,LEC,"Al Momani,Abd Al Rahman Rasheed"
16300,Active,8733,MA,132,7,4162,Spring 2016,Calculus II,18,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,7,4172,Spring 2017,Calculus II,24,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,7,4182,Spring 2018,Calculus II,19,LEC,"Yao,Guangming"
16300,Active,8733,MA,132,7,4192,Spring 2019,Calculus II,17,LEC,"Martin,Christopher J."
16300,Active,8733,MA,132,7,4202,Spring 2020,Calculus II,19,LEC,"Yao,Guangming"
